Id	Site	Grid.10km	Expansion	ID	RegScore1
C19M16_D_calibrated	CS_CarvCopse	SU13	England	C19M16_D_calibrated	-0.025311342173386625
C19M17_D_calibrated	CS_CarvCopse	SU13	England	C19M17_D_calibrated	0.015753531899480464
C19M18_D_calibrated	CS_CarvCopse	SU13	England	C19M18_D_calibrated	-0.020175702825014488
C19M19_D_calibrated	CS_CarvCopse	SU13	England	C19M19_D_calibrated	-0.01346830517035486
C19M20_D_calibrated	CS_CarvCopse	SU13	England	C19M20_D_calibrated	-0.0011446804302503704
C19M21_D_RF_calibrated	CS_MarDwn	SU02	England	C19M21_D_RF_calibrated	-0.009268630075660844
C19M22_D_calibrated	CS_MarDwn	SU02	England	C19M22_D_calibrated	-0.0038532948299688035
C19M23_D_calibrated	CS_MarDwn	SU02	England	C19M23_D_calibrated	-0.01640033961447251
C19M25_D_calibrated	CS_MarDwn	SU02	England	C19M25_D_calibrated	-0.02725392984816676
C19M27_D_calibrated	CS_Snapes	SU02	England	C19M27_D_calibrated	0.011822857723785777
C19M28_D_calibrated	CS_Snapes	SU03	England	C19M28_D_calibrated	-0.016964742945857186
C19M29_D_calibrated	CS_Snapes	SU03	England	C19M29_D_calibrated	-0.01116135025790055
C19M30_D_calibrated	CS_Snapes	SU03	England	C19M30_D_calibrated	-0.01454850606758646
C19M31_D_calibrated	CS_Snapes	SU03	England	C19M31_D_calibrated	-0.011814244014179706
C19M32_D_calibrated	CS_Snapes	SU03	England	C19M32_D_calibrated	-0.01706424237276149
C19M33_D_calibrated	CS_Snapes	SU03	England	C19M33_D_calibrated	-0.0029161321882131067
C19M34_D_calibrated	CS_Snapes	SU03	England	C19M34_D_calibrated	-0.01230413737437132
C19M35_D_calibrated	CS_Snapes	SU03	England	C19M35_D_calibrated	-0.02999206819384157
C19M36_D_calibrated	CS_Snapes	SU03	England	C19M36_D_calibrated	-0.004224815538045785
C19M37_D_calibrated	CS_Snapes	SU03	England	C19M37_D_calibrated	-0.004392000875598134
C19M38_D_RF_calibrated	CS_Snapes	SU03	England	C19M38_D_RF_calibrated	-0.01124798108188962
C19M39_D_calibrated	CS_Snapes	SU03	England	C19M39_D_calibrated	-0.0016425742528878864
C19M40_D_RF_calibrated	CS_Snapes	SU03	England	C19M40_D_RF_calibrated	0.007321222359387375
ESM1_D_calibrated	ES_HadRail	TM04	England	ESM1_D_calibrated	-0.008698339080704394
ESM2_D_calibrated	ES_HadRail	TM04	England	ESM2_D_calibrated	0.005092396953647993
ESM3_D_calibrated	ES_HadRail	TM04	England	ESM3_D_calibrated	0.009702305139558002
ESM4_D_calibrated	ES_HadRail	TM04	England	ESM4_D_calibrated	-0.014214230202842907
ESM5_D_calibrated	ES_HadRail	TM04	England	ESM5_D_calibrated	0.004158005560630543
ESM6_D_calibrated	ES_HadRail	TM04	England	ESM6_D_calibrated	-0.00750525460040149
ESM7_D_calibrated	ES_HadRail	TM04	England	ESM7_D_calibrated	0.018810333161945914
ESM8_D_calibrated	ES_HadRail	TM04	England	ESM8_D_calibrated	0.027396044240732904
ESM9_D_calibrated	ES_HadRail	TM04	England	ESM9_D_calibrated	-0.015447218486032723
