 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
87,C19M32_D_calibrated.png:bot3rd,51686,86.58,22.32,29,218,283.42,232.19,58.12,352.53,4475073.00,4475073.00,193.13,679.71,46.23,250.56
88,C19M32_D_calibrated.png:whole_wing,221808,85.96,37.13,17,233,694.98,406.37,175.67,751.25,19066713.00,19066713.00,186.44,672.28,179.97,432.23
89,C19M33_D_calibrated.png:edge3rd,75661,62.99,33.78,16,209,390.32,246.81,106.00,437.49,4765896.00,4765896.00,684.00,369.09,118.90,263.93
90,C19M33_D_calibrated.png:mid3rd,108823,81.17,38.57,29,204,474.24,292.17,88.42,470.05,8833496.00,8833496.00,422.98,752.35,58.54,264.00
91,C19M33_D_calibrated.png:bot3rd,51144,82.79,18.83,28,216,279.69,232.83,49.49,349.71,4234292.00,4234292.00,167.68,670.80,43.34,263.20
92,C19M33_D_calibrated.png:whole_wing,234879,75.68,34.73,16,216,718.06,416.48,177.02,789.16,17775099.00,17775099.00,158.80,652.97,179.51,457.31
93,C19M34_D_calibrated.png:edge3rd,75147,58.85,32.41,15,201,393.48,243.17,106.26,436.32,4422618.00,4422618.00,689.36,371.50,117.80,259.49
94,C19M34_D_calibrated.png:mid3rd,107790,76.52,37.63,27,230,475.70,288.51,88.95,464.80,8248332.00,8248332.00,427.65,757.85,63.98,260.00
95,C19M34_D_calibrated.png:bot3rd,53254,79.71,22.38,28,239,296.30,228.84,57.38,364.97,4244975.00,4244975.00,179.23,688.18,47.03,259.85
96,C19M34_D_calibrated.png:whole_wing,235435,71.61,34.21,15,239,713.45,420.17,177.92,777.34,16859598.00,16859598.00,168.15,669.90,179.82,451.81
97,C19M35_D_calibrated.png:edge3rd,70876,81.37,37.86,17,224,383.54,235.29,108.22,435.60,5766940.00,5766940.00,693.54,375.78,119.28,258.73
98,C19M35_D_calibrated.png:mid3rd,105146,90.86,39.76,35,243,464.18,288.41,89.36,458.11,9553309.00,9553309.00,434.01,754.12,55.57,259.00
99,C19M35_D_calibrated.png:bot3rd,54626,89.35,17.44,39,217,293.71,236.80,60.74,363.55,4880826.00,4880826.00,183.18,676.10,46.16,258.25
100,C19M35_D_calibrated.png:whole_wing,229898,87.57,35.36,17,243,715.30,409.22,175.70,773.98,20133152.00,20133152.00,176.75,668.44,0.24,441.56
101,C19M36_D_calibrated.png:edge3rd,76644,71.91,36.93,17,220,396.92,245.86,105.57,445.63,5511745.00,5511745.00,694.00,364.20,116.44,269.09
102,C19M36_D_calibrated.png:mid3rd,116008,88.62,42.67,32,226,493.12,299.53,89.26,484.79,10280160.00,10280160.00,553.55,336.76,106.80,270.00
103,C19M36_D_calibrated.png:bot3rd,56343,86.26,23.25,36,244,300.93,238.39,56.36,376.20,4859954.00,4859954.00,216.56,727.58,56.37,269.14
104,C19M36_D_calibrated.png:whole_wing,248648,82.94,38.04,17,244,731.03,433.07,177.72,807.23,20621911.00,20621911.00,155.86,662.49,179.86,464.60
105,C19M37_D_calibrated.png:edge3rd,78219,68.99,35.29,16,244,397.78,250.37,107.19,449.75,5396288.00,5396288.00,695.84,360.53,115.52,272.37
106,C19M37_D_calibrated.png:mid3rd,116709,82.99,41.66,27,225,491.77,302.17,88.47,488.33,9685494.00,9685494.00,422.19,765.71,56.22,273.00
107,C19M37_D_calibrated.png:bot3rd,57702,80.29,18.92,32,197,305.36,240.60,60.71,376.15,4632730.00,4632730.00,154.91,678.02,44.54,272.34
108,C19M37_D_calibrated.png:whole_wing,252718,78.02,36.19,16,244,742.60,433.30,177.97,816.72,19718132.00,19718132.00,150.66,668.12,0.25,465.60
109,C19M38_D_calibrated.png:edge3rd,73501,74.67,38.30,16,214,388.23,241.05,106.60,437.92,5488410.00,5488410.00,726.41,318.64,117.55,260.00
