 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
232,CCM34_D_calibrated.png:whole_wing,264060,106.02,33.20,26,231,650.60,516.77,166.62,691.86,27996513.00,27996513.00,245.67,496.54,0.32,536.21
233,CCM35_D_calibrated.png:edge3rd,7,74.29,5.12,66,80,18.35,0.49,51.00,38.01,520.00,520.00,478.61,500.60,52.51,1.00
234,CCM35_D_calibrated.png:mid3rd,54075,92.67,30.22,23,191,548.56,125.51,92.33,539.56,5011359.00,5011359.00,333.15,236.98,96.68,142.16
235,CCM35_D_calibrated.png:bot3rd,154031,69.84,34.50,18,248,603.90,324.75,84.09,618.19,10757465.00,10757465.00,463.75,809.83,83.04,337.80
236,CCM35_D_calibrated.png:whole_wing,208106,75.77,34.91,18,248,599.23,442.18,84.00,1012.97,15768824.00,15768824.00,-273.17,427.98,0.11,587.53
237,CCM36_D_calibrated.png:edge3rd,15,0.00,0.00,0,0,40.26,0.47,47.98,474.00,0.00,0.00,-237.66,433.88,47.88,2.00
238,CCM36_D_calibrated.png:mid3rd,81837,81.38,28.35,22,202,571.22,182.41,91.12,614.00,6659612.00,6659612.00,431.52,799.58,89.77,192.88
239,CCM36_D_calibrated.png:bot3rd,145489,73.15,35.76,20,220,585.58,316.34,83.00,651.88,10642817.00,10642817.00,441.55,180.20,97.54,335.95
240,CCM36_D_calibrated.png:whole_wing,227341,76.11,33.52,0,220,597.56,484.40,78.84,1007.61,17302429.00,17302429.00,-237.66,433.88,179.98,624.99
241,CCM37_D_calibrated.png:edge3rd,17,0.00,0.00,0,0,30.36,0.71,47.10,477.00,0.00,0.00,-278.98,444.59,47.12,2.00
242,CCM37_D_calibrated.png:mid3rd,82781,101.33,30.46,0,197,624.96,168.65,89.78,843.52,8388562.00,8388562.00,93.34,43.86,112.78,276.55
243,CCM37_D_calibrated.png:bot3rd,169135,78.10,34.97,19,247,638.97,337.03,82.18,681.20,13209501.00,13209501.00,436.55,835.64,78.31,349.30
244,CCM37_D_calibrated.png:whole_wing,251933,85.73,35.29,0,247,659.07,486.70,74.95,1049.04,21598063.00,21598063.00,-279.71,443.91,0.42,662.44
245,CCM38_D_calibrated.png:edge3rd,4,0.00,0.00,0,0,3.22,1.58,58.28,372.00,0.00,0.00,-246.65,424.44,48.15,2.00
246,CCM38_D_calibrated.png:mid3rd,94343,96.52,32.21,21,202,609.91,196.95,92.00,647.64,9106447.00,9106447.00,422.67,171.27,90.83,209.25
247,CCM38_D_calibrated.png:bot3rd,163454,72.51,35.62,17,245,625.72,332.60,83.72,677.58,11851654.00,11851654.00,462.73,841.14,82.11,339.66
248,CCM38_D_calibrated.png:whole_wing,257801,81.30,36.31,0,245,637.32,515.04,80.24,1019.06,20958101.00,20958101.00,-247.39,423.77,179.86,656.55
249,CCM39_D_calibrated.png:edge3rd,3,0.00,0.00,0,0,12.72,0.30,47.85,408.00,0.00,0.00,-233.26,396.12,47.86,2.00
250,CCM39_D_calibrated.png:mid3rd,88423,100.00,30.33,24,216,588.59,191.28,93.95,621.55,8842058.00,8842058.00,385.21,185.98,93.20,214.57
